log,n_traces,n_unique_traces,ratio_unique_traces_per_trace,n_events,trace_len_min,trace_len_max,trace_len_mean,trace_len_median,trace_len_mode,trace_len_std,trace_len_variance,trace_len_q1,trace_len_q3,trace_len_iqr,trace_len_geometric_mean,trace_len_geometric_std,trace_len_harmonic_mean,trace_len_skewness,trace_len_kurtosis,trace_len_coefficient_variation,trace_len_entropy,trace_len_hist1,trace_len_hist2,trace_len_hist3,trace_len_hist4,trace_len_hist5,trace_len_hist6,trace_len_hist7,trace_len_hist8,trace_len_hist9,trace_len_hist10,trace_len_skewness_hist,trace_len_kurtosis_hist,ratio_most_common_variant,ratio_top_1_variants,ratio_top_5_variants,ratio_top_10_variants,ratio_top_20_variants,ratio_top_50_variants,ratio_top_75_variants,mean_variant_occurrence,std_variant_occurrence,skewness_variant_occurrence,kurtosis_variant_occurrence,n_unique_activities,activities_min,activities_max,activities_mean,activities_median,activities_std,activities_variance,activities_q1,activities_q3,activities_iqr,activities_skewness,activities_kurtosis,n_unique_start_activities,start_activities_min,start_activities_max,start_activities_mean,start_activities_median,start_activities_std,start_activities_variance,start_activities_q1,start_activities_q3,start_activities_iqr,start_activities_skewness,start_activities_kurtosis,n_unique_end_activities,end_activities_min,end_activities_max,end_activities_mean,end_activities_median,end_activities_std,end_activities_variance,end_activities_q1,end_activities_q3,end_activities_iqr,end_activities_skewness,end_activities_kurtosis,entropy_trace,entropy_prefix,entropy_global_block,entropy_lempel_ziv,entropy_k_block_diff_1,entropy_k_block_diff_3,entropy_k_block_diff_5,entropy_k_block_ratio_1,entropy_k_block_ratio_3,entropy_k_block_ratio_5,entropy_knn_3,entropy_knn_5,entropy_knn_7
bpi2012,13087,4366,0.3336135095896691,262200,3,175,20.035149384885763,11.0,3,19.943558762822448,397.7455361261521,3.0,31.0,28.0,11.807099720248099,2.934916911748689,7.124951558473151,1.6182132613168363,3.87649742389314,0.9954285031619275,9.042623719065103,0.034731786025898236,0.013283197776597049,0.006534977902800758,0.002279023565014811,0.0008485253429197444,0.00024433975843238736,0.00011994860868499005,5.775303381129151e-05,1.3327623187221128e-05,2.6655246374442215e-05,2.0549824896364988,2.926422787769278,0.2620157408114923,0.5608619240467639,0.6439214487659509,0.6862535340414151,0.73309390998701,0.8331932452051655,0.916558416749446,2.9974805313788364,59.51696111718352,50.82236374008843,2734.691439171705,24,12,54850,10925.0,6071.5,14289.729222417058,204196361.25,2246.0,13087.0,10841.0,2.144345661604607,3.692864131929639,1,13087,13087,13087.0,13087.0,0.0,0.0,13087.0,13087.0,0.0,,,11,1,3429,1189.7272727272727,655.0,1162.407461881597,1351191.1074380165,168.0,2086.5,1918.5,0.605168512721238,-1.0473501605945204,7.752,11.171,15.441,0.685,0.0,1.315,0.443,1.034,3.688,2.502,6.071,5.616,5.335
bpi2013_closed_problems,1487,183,0.1230665770006725,6660,1,35,4.478816408876933,3.0,2,3.170887528460078,10.05452771814366,2.0,6.0,4.0,3.734438617876037,1.7784682955473754,3.226558608021213,2.669670803837637,12.858932107053937,0.7079744376606811,7.109269350754738,0.18355156453973653,0.07733691997310022,0.021163811859646352,0.007516120099687487,0.0023735116104276273,0.0013845484394161165,0.0001977926342023022,0.00019779263420230237,0.00019779263420230237,0.0001977926342023022,2.044144412970344,2.7731423497581646,0.33154001344989914,0.33154001344989914,0.7767316745124412,0.8406186953597848,0.8863483523873571,0.9381304640215198,0.9690652320107599,8.12568306010929,42.08098549678256,9.404756403853547,98.23422047785813,4,10,4207,1665.0,1221.5,1567.984215481776,2458574.5,658.75,2227.75,1569.0,0.7392184353676936,-0.9466658197729658,4,1,1432,371.75,27.0,612.5036224382677,375160.6875,1.0,397.75,396.75,1.150575110935166,-0.6699451279753594,1,1487,1487,1487.0,1487.0,0.0,0.0,1487.0,1487.0,0.0,,,4.201,5.699,6.563,0.437,0.962,0.871,0.871,0.935,1.043,1.043,3.094,2.644,2.386
bpi2013_incidents,7554,1511,0.20002647603918453,65533,1,123,8.675271379401641,6.0,3,7.625070829097389,58.14170514875194,4.0,11.0,7.0,6.73256550932609,1.9638214545359451,5.525512912167082,3.442718894749009,23.107478114799605,0.878943204843387,8.654823625676583,0.068696641015291,0.010319144780530996,0.0020942112961540305,0.0004882876079115613,0.0002495692218214646,6.510501438820824e-05,2.1701671462736054e-05,1.0850835731368027e-05,0.0,2.1701671462736054e-05,2.565200830119721,4.765121729210673,0.2321948636483982,0.5959756420439503,0.744241461477363,0.7944135557320625,0.8399523431294679,0.8999205718824463,0.9499602859412232,4.99933818663137,50.50302229548529,28.882421880830673,960.3072444732197,4,5,40117,16383.25,12705.5,14673.852738374473,215321954.1875,8659.25,20429.5,11770.25,0.6999557875760081,-0.8979086185161993,3,4,6394,2518.0,1156.0,2780.8042002269776,7732872.0,580.0,3775.0,3195.0,0.6171843670395555,-1.5,2,8,7546,3777.0,3777.0,3769.0,14205361.0,1892.5,5661.5,3769.0,0.0,-2.0,6.665,8.79,10.783,0.552,0.786,0.855,0.842,0.92,1.15,1.052,4.858,4.371,4.083
bpi2013_open_problems,819,108,0.13186813186813187,2351,1,22,2.8705738705738706,2.0,2,2.0826279627221287,4.337339231112124,2.0,3.0,1.0,2.376872060519447,1.8090934788649353,2.0217934384616183,2.894136216970983,15.163511384439552,0.7255092732749567,6.506764152951279,0.3593232164660736,0.07209721495435781,0.026164311878597586,0.013954299668585385,0.002907145764288622,0.0,0.0005814291528577244,0.0,0.0005814291528577239,0.0005814291528577249,2.482691252253617,4.479872731442206,0.21733821733821734,0.21733821733821734,0.63003663003663,0.7692307692307693,0.8559218559218559,0.9340659340659341,0.967032967032967,7.583333333333333,24.4556003583819,5.329307387806333,29.52515122238053,3,383,1581,783.6666666666666,387.0,563.8021717667367,317872.8888888889,385.0,984.0,599.0,0.7070800873349773,-1.5,3,1,759,273.0,59.0,344.4686729829966,118658.66666666667,30.0,409.0,379.0,0.6921014365297146,-1.5,3,93,370,273.0,356.0,127.40748277344885,16232.666666666666,224.5,363.0,138.5,-0.7007087259412562,-1.4999999999999998,4.372,4.525,5.301,0.462,0.905,1.059,1.059,1.06,1.087,1.087,2.971,2.53,2.259
bpi2017,31509,15930,0.5055698371893744,1202267,10,180,38.15630454790695,35.0,24,16.715042807894445,279.39265606974385,25.0,47.0,22.0,35.07478819029962,1.49705745531432,32.45035060728216,1.4419889593887563,3.3261062719496177,0.4380676537191373,10.271517813159997,0.01675711701418642,0.024105157630032875,0.012269136922597278,0.003982055547154594,0.0011761345497924964,0.00036030788588881237,0.00012694785616807895,2.426944309095627e-05,1.866880237765867e-05,3.7337604755317343e-06,1.1535110894312304,-0.176508105322144,0.03351423402837284,0.3419340505887207,0.4708495985274049,0.5313402519914945,0.5955441302485004,0.7472150814053128,0.8735916722206354,1.9779661016949153,15.252898968284818,50.63956503673413,3101.6469673384054,26,22,209496,46241.03846153846,27333.5,59174.52087647233,3501623920.9600596,12130.25,42173.0,30042.75,1.7864596165541453,1.7443006974216466,1,31509,31509,31509.0,31509.0,0.0,0.0,31509.0,31509.0,0.0,,,12,1,12662,2625.75,58.5,4169.341157485197,17383405.6875,4.25,4496.0,4491.75,1.385411010614522,0.5059685741434019,11.993,12.934,16.457,0.587,0.344,1.303,0.45,1.225,3.786,2.545,7.009,6.579,6.297
bpi2020_domestic,10500,99,0.009428571428571429,56437,1,24,5.374952380952381,5.0,5,1.486344588521674,2.2092202358276642,5.0,6.0,1.0,5.173903747502986,1.3387644907814602,4.899145628583966,1.7985259698981662,9.50882964191275,0.2765316756645034,9.223150864430831,0.015113871635610768,0.27515527950310564,0.10650103519668738,0.032960662525879925,0.0038095238095238082,0.0008695652173913048,0.0002484472049689442,8.281573498964801e-05,0.0,4.140786749482401e-05,2.1057004897174725,3.043221891819723,0.4398095238095238,0.0,0.8626666666666667,0.9500952380952381,0.9808571428571429,0.9948571428571429,0.9976190476190476,106.06060606060606,539.5272681659214,6.898852024205939,50.47914689052968,17,1,11531,3319.823529411765,685.0,4395.927061902189,19324174.73356401,86.0,8202.0,8116.0,0.8880792572908479,-1.0582977877842086,2,135,10365,5250.0,5250.0,5115.0,26163225.0,2692.5,7807.5,5115.0,0.0,-2.0,6,4,10043,1750.0,82.0,3710.0404759696808,13764400.333333334,11.25,246.5,235.25,1.7860574531777165,1.1949320367524798,2.598,4.448,5.789,0.045,-0.295,0.325,0.325,0.612,2.827,2.827,2.942,2.576,2.315
bpi2020_international,6449,753,0.11676228872693441,72151,3,27,11.187936114126222,10.0,10,2.7406707917109645,7.511276388537605,10.0,13.0,3.0,10.870487357615595,1.272055102928017,10.5534464197551,1.0141270682473258,2.538578203570517,0.24496661079879709,8.742870108374406,0.0016798470047035715,0.019576678554814705,0.19686514705122246,0.09277924225978186,0.057114798159921425,0.036245929601488626,0.008140797022794225,0.002713599007598079,0.0009691425027135996,0.0005814855016281589,1.7197433449942385,1.8787360557168586,0.21228097379438673,0.5061249806171499,0.7229027756241277,0.811288571871608,0.8762598852535277,0.9415413242363158,0.9706931307179407,8.564409030544489,59.36101902117608,18.09366851408611,381.8337956165025,34,1,8099,2122.0882352941176,573.0,2653.8413043520745,7042873.6686851205,86.0,4987.5,4901.5,0.9055003675854053,-0.8811942276486278,4,8,5294,1612.25,573.5,2141.398418674115,4585587.1875,307.25,1878.5,1571.25,1.1040207390494754,-0.704706048643815,10,1,5646,644.9,9.5,1676.0077833948149,2809002.0900000003,2.25,111.0,108.75,2.61607273946178,4.943139051837915,6.142,8.064,9.734,0.304,-0.005,3.972,0.881,3.972,3.972,3.972,4.681,4.251,3.986
bpi2020_payment,6886,89,0.012924774905605577,36796,1,20,5.343595701423178,5.0,5,1.4673844229755477,2.153217044791281,5.0,6.0,1.0,5.142905094455852,1.3383761131479524,4.878070090969419,1.539236188496682,7.664783605385917,0.27460618373218887,8.801227388547662,0.006114618524236819,0.07933717535197274,0.3958451167127812,0.021554030297934786,0.018038124646498614,0.0040509347723068955,0.0007643273155296022,0.0005350291208707217,0.0,7.643273155296015e-05,2.4925364085140895,4.510777149371517,0.43726401394133024,0.0,0.8276212605286087,0.933488237002614,0.9647110078419983,0.9928841126924194,0.9966598896311356,77.37078651685393,371.4226031864625,6.614784287858829,45.52865690489181,19,1,7504,1936.6315789473683,179.0,2724.851347186838,7424814.864265928,44.0,3751.5,3707.5,1.0325461686912791,-0.7470642894209347,2,72,6814,3443.0,3443.0,3371.0,11363641.0,1757.5,5128.5,3371.0,0.0,-2.0,10,1,6305,688.6,6.5,1876.6810704006155,3521931.84,1.25,65.75,64.5,2.6433297445393817,5.035054880489902,2.686,4.407,5.789,0.059,-0.328,0.323,0.323,0.587,2.883,2.883,2.921,2.574,2.312
bpi2020_permit,7065,1478,0.2092002830856334,86581,3,90,12.254918612880397,11.0,10,5.584833009333192,31.190359742137638,9.0,15.0,6.0,11.297924048149273,1.4814048013231005,10.484739200550882,2.822405217841859,19.329891601258332,0.4557217543218373,8.77646342592156,0.060912219049710815,0.04607462722990946,0.006247407082021622,0.0012039274064312502,0.00029284720696976343,0.00013015431420878386,1.6269289276097982e-05,0.0,4.880786782829391e-05,1.626928927609797e-05,1.5636354982784662,0.6223614039657015,0.13531493276716205,0.48336871903750883,0.6828025477707006,0.7575371549893843,0.8198159943382873,0.8953998584571833,0.9476291578202406,4.780108254397835,32.28922005123962,20.859154364104725,543.6143864851264,51,1,7574,1697.6666666666667,221.0,2559.730812031875,6552221.83006536,38.0,1893.0,1855.0,1.4247360437117502,0.3956138594412586,3,12,6319,2355.0,734.0,2818.4266296404926,7943528.666666667,373.0,3526.5,3153.5,0.6724635493123402,-1.5,12,1,5474,588.75,28.0,1499.9066151486454,2249719.8541666665,3.5,141.75,138.25,2.839079376157351,6.394378284657067,7.453,9.372,12.268,0.677,-0.048,1.253,1.126,2.764,4.276,4.276,5.436,4.999,4.725
bpi2020_prepaid,2099,202,0.09623630300142925,18246,1,21,8.692710814673655,8.0,8,2.253872690194338,5.079942103603862,8.0,10.0,2.0,8.366444627726759,1.3438661336213327,7.914730402886259,0.36099284565805234,1.7657005052566408,0.2592830635053116,7.614749621075523,0.0016674606955693187,0.010719390185802763,0.06860409718913768,0.1939018580276322,0.14078132444020963,0.056931872320152455,0.020724154359218677,0.004049547403525489,0.0023820867079561697,0.00023820867079561695,1.2248979764599366,0.11021390609742676,0.2710814673654121,0.41924726060028583,0.7374940447832301,0.822772748928061,0.8847070033349214,0.9518818484992854,0.975702715578847,10.391089108910892,47.93477953337066,9.238111582933154,96.32115102616238,29,7,2279,629.1724137931035,160.0,796.0819169842675,633746.4185493462,24.0,1478.0,1454.0,0.9471860418739371,-0.8384332519483118,3,7,1859,699.6666666666666,233.0,824.9482138628798,680539.5555555556,120.0,1046.0,926.0,0.6675123922609167,-1.4999999999999996,9,1,1970,233.22222222222223,10.0,614.3905341027495,377475.72839506174,6.0,20.0,14.0,2.46956711279339,4.109664867684044,4.657,6.633,8.387,0.315,-0.092,3.734,0.815,3.734,3.734,3.734,3.661,3.258,2.987
