setup_id,weights,n_logs,mean_accuracy_full,mean_accuracy_action,mean_regret_full,mean_regret_action,median_rank_full,median_rank_action,mean_train_instances,description,model_kind,feature_set,data_regime,action_space,n_estimators,random_state,notes
B0_apdtm_cls_apdtm_features_original,equal,16,0.48790688500868784,0.3963172317246017,0.28137461227270066,0.1511813589122738,144.0,2.0,800.8125,APDTM faithful baseline: original APDTM meta-database only.,classifier,apdtm,apdtm_original,apdtm5_default,100,10,Default-only CASH rows prefer recorded v6_baseline_* rows; fallback is all-empty hyperparameters or nearest documented default when no baseline row exists.
B0_apdtm_cls_apdtm_features_original,fit+gen,16,0.6917085081388376,0.6320155255571915,0.2178972520555737,0.1992531778802757,18.0,2.0,800.8125,APDTM faithful baseline: original APDTM meta-database only.,classifier,apdtm,apdtm_original,apdtm5_default,100,10,Default-only CASH rows prefer recorded v6_baseline_* rows; fallback is all-empty hyperparameters or nearest documented default when no baseline row exists.
B0_apdtm_cls_apdtm_features_original,fit+pre,16,0.440514437273042,0.30050926599871003,0.42015234559613035,0.2795139579037841,151.0,2.0,800.8125,APDTM faithful baseline: original APDTM meta-database only.,classifier,apdtm,apdtm_original,apdtm5_default,100,10,Default-only CASH rows prefer recorded v6_baseline_* rows; fallback is all-empty hyperparameters or nearest documented default when no baseline row exists.
B0_apdtm_cls_apdtm_features_original,fit+sim,16,0.6031705667582375,0.566644400580156,0.25685209251628965,0.17361502997483447,67.0,2.0,800.8125,APDTM faithful baseline: original APDTM meta-database only.,classifier,apdtm,apdtm_original,apdtm5_default,100,10,Default-only CASH rows prefer recorded v6_baseline_* rows; fallback is all-empty hyperparameters or nearest documented default when no baseline row exists.
B0_apdtm_cls_apdtm_features_original,fitn,16,0.6849512430066839,0.6522079087272272,0.28384972787210294,0.28384972787210294,8.0,2.0,800.8125,APDTM faithful baseline: original APDTM meta-database only.,classifier,apdtm,apdtm_original,apdtm5_default,100,10,Default-only CASH rows prefer recorded v6_baseline_* rows; fallback is all-empty hyperparameters or nearest documented default when no baseline row exists.
B0_apdtm_cls_apdtm_features_original,gen+sim,16,0.5784811362244424,0.6213020354829358,0.2830731774886296,0.11621275292114265,91.5,2.0,800.8125,APDTM faithful baseline: original APDTM meta-database only.,classifier,apdtm,apdtm_original,apdtm5_default,100,10,Default-only CASH rows prefer recorded v6_baseline_* rows; fallback is all-empty hyperparameters or nearest documented default when no baseline row exists.
B0_apdtm_cls_apdtm_features_original,gene,16,0.7188271410199454,0.721234999654584,0.1791456993288959,0.11559863097151384,59.5,2.0,800.8125,APDTM faithful baseline: original APDTM meta-database only.,classifier,apdtm,apdtm_original,apdtm5_default,100,10,Default-only CASH rows prefer recorded v6_baseline_* rows; fallback is all-empty hyperparameters or nearest documented default when no baseline row exists.
B0_apdtm_cls_apdtm_features_original,mix-fit,16,0.485728052794189,0.3645061023791238,0.31269992129116575,0.19421785511053521,145.5,2.0,800.8125,APDTM faithful baseline: original APDTM meta-database only.,classifier,apdtm,apdtm_original,apdtm5_default,100,10,Default-only CASH rows prefer recorded v6_baseline_* rows; fallback is all-empty hyperparameters or nearest documented default when no baseline row exists.
B0_apdtm_cls_apdtm_features_original,mix-gen,16,0.5040490938329159,0.43038453003399463,0.25814707642497214,0.11588283006146011,144.0,2.0,800.8125,APDTM faithful baseline: original APDTM meta-database only.,classifier,apdtm,apdtm_original,apdtm5_default,100,10,Default-only CASH rows prefer recorded v6_baseline_* rows; fallback is all-empty hyperparameters or nearest documented default when no baseline row exists.
B0_apdtm_cls_apdtm_features_original,mix-prec,16,0.42934668396765335,0.27568073976209584,0.3497164632422673,0.18796145405011946,150.5,2.0,800.8125,APDTM faithful baseline: original APDTM meta-database only.,classifier,apdtm,apdtm_original,apdtm5_default,100,10,Default-only CASH rows prefer recorded v6_baseline_* rows; fallback is all-empty hyperparameters or nearest documented default when no baseline row exists.
