setup_id,model_path,n_final_train_instances,mean_train_instances
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,apdtm_comparison/outputs/fair_lolo_ablation/models/C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams.joblib,17039,16666.38888888889
C5_cash_reg_cash_features_cash_full_clean_all_algos_hparams,apdtm_comparison/outputs/fair_lolo_ablation/models/C5_cash_reg_cash_features_cash_full_clean_all_algos_hparams.joblib,34954,34192.944444444445
B0_apdtm_cls_apdtm_features_original,apdtm_comparison/outputs/fair_lolo_ablation/models/B0_apdtm_cls_apdtm_features_original.joblib,801,800.8125
B1_apdtm_cls_apdtm_features_original_plus_cash_real,apdtm_comparison/outputs/fair_lolo_ablation/models/B1_apdtm_cls_apdtm_features_original_plus_cash_real.joblib,817,815.8125
B2_apdtm_cls_cash_features_cash_real_default,apdtm_comparison/outputs/fair_lolo_ablation/models/B2_apdtm_cls_cash_features_cash_real_default.joblib,17,16.055555555555557
B3_apdtm_cls_cash_features_cash_real_synthetic_default,apdtm_comparison/outputs/fair_lolo_ablation/models/B3_apdtm_cls_cash_features_cash_real_synthetic_default.joblib,80,79.05555555555556
B4_apdtm_cls_cash_features_cash_full_clean_default,apdtm_comparison/outputs/fair_lolo_ablation/models/B4_apdtm_cls_cash_features_cash_full_clean_default.joblib,137,133.22222222222223
C0_cash_reg_apdtm_features_cash_real_default,apdtm_comparison/outputs/fair_lolo_ablation/models/C0_cash_reg_apdtm_features_cash_real_default.joblib,65,60.9375
C1_cash_reg_cash_features_cash_real_default,apdtm_comparison/outputs/fair_lolo_ablation/models/C1_cash_reg_cash_features_cash_real_default.joblib,85,80.27777777777777
C2_cash_reg_cash_features_cash_full_clean_apdtm5_default,apdtm_comparison/outputs/fair_lolo_ablation/models/C2_cash_reg_cash_features_cash_full_clean_apdtm5_default.joblib,972,950.7777777777778
C4_cash_reg_cash_features_cash_full_clean_all_algos_default,apdtm_comparison/outputs/fair_lolo_ablation/models/C4_cash_reg_cash_features_cash_full_clean_all_algos_default.joblib,1806,1767.5
B0_apdtm_cls_apdtm_features_original,apdtm_comparison/outputs/fair_lolo_ablation/models/B0_apdtm_cls_apdtm_features_original.joblib,801,800.8125
B1_apdtm_cls_apdtm_features_original_plus_cash_real,apdtm_comparison/outputs/fair_lolo_ablation/models/B1_apdtm_cls_apdtm_features_original_plus_cash_real.joblib,817,815.8125
B2_apdtm_cls_cash_features_cash_real_default,apdtm_comparison/outputs/fair_lolo_ablation/models/B2_apdtm_cls_cash_features_cash_real_default.joblib,17,16.055555555555557
B3_apdtm_cls_cash_features_cash_real_synthetic_default,apdtm_comparison/outputs/fair_lolo_ablation/models/B3_apdtm_cls_cash_features_cash_real_synthetic_default.joblib,79,78.05555555555556
B4_apdtm_cls_cash_features_cash_full_clean_default,apdtm_comparison/outputs/fair_lolo_ablation/models/B4_apdtm_cls_cash_features_cash_full_clean_default.joblib,135,131.22222222222223
C0_cash_reg_apdtm_features_cash_real_default,apdtm_comparison/outputs/fair_lolo_ablation/models/C0_cash_reg_apdtm_features_cash_real_default.joblib,65,60.9375
C1_cash_reg_cash_features_cash_real_default,apdtm_comparison/outputs/fair_lolo_ablation/models/C1_cash_reg_cash_features_cash_real_default.joblib,90,85.0
C2_cash_reg_cash_features_cash_full_clean_apdtm5_default,apdtm_comparison/outputs/fair_lolo_ablation/models/C2_cash_reg_cash_features_cash_full_clean_apdtm5_default.joblib,1013,990.5
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,apdtm_comparison/outputs/fair_lolo_ablation/models/C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams.joblib,17580,17188.5
C4_cash_reg_cash_features_cash_full_clean_all_algos_default,apdtm_comparison/outputs/fair_lolo_ablation/models/C4_cash_reg_cash_features_cash_full_clean_all_algos_default.joblib,2027,1982.0
C5_cash_reg_cash_features_cash_full_clean_all_algos_hparams,apdtm_comparison/outputs/fair_lolo_ablation/models/C5_cash_reg_cash_features_cash_full_clean_all_algos_hparams.joblib,39700,38818.0
